ID_Transformador,ano,mes,dia,count,mean,std,min,25%,50%,75%,max
1104,2018,6,1,53.0,1053.8392452830187,33.63226197527155,1002.3,1024.0,1053.98,1086.88,1107.36
1104,2018,6,2,34.0,1121.3000000000002,7.70926086147712,1108.5,1115.095,1120.8200000000002,1127.19,1135.06
1104,2018,6,4,72.0,1387.1941666666671,36.251543328001524,1341.38,1353.92,1382.1,1420.5549999999998,1448.24
1104,2018,6,5,33.0,1490.972727272727,29.354252595740608,1449.14,1466.6,1482.96,1518.08,1532.04
6853,2018,6,4,56.0,7713.83785714286,62.22654419616601,7616.84,7666.21,7707.34,7772.45,7821.72
10359,2018,4,1,5.0,25646.976000000002,5.539483730457842,25639.78,25643.62,25647.16,25650.44,25653.88
10359,2018,4,5,30.0,26399.449333333338,60.76126323477046,26355.28,26366.825,26376.37,26386.83,26538.66
10359,2018,4,8,66.0,27137.093030303033,64.89415585799813,27029.8,27089.07,27130.59,27174.36,27251.96
10359,2018,4,9,1.0,27254.04,,27254.04,27254.04,27254.04,27254.04,27254.04
10359,2018,4,15,5.0,28806.080000000005,5.4487246214135725,28799.2,28802.66,28806.02,28809.52,28813.0
10359,2018,4,24,5.0,30816.24,4.528796749689042,30810.56,30813.3,30816.22,30819.18,30821.94
10359,2018,4,26,96.0,31282.450833333325,69.81871785924439,31181.5,31219.7,31273.8,31336.115,31415.5
10359,2018,4,27,96.0,31519.950624999994,71.19784366652651,31417.68,31455.175000000003,31511.309999999998,31575.32,31654.54
10359,2018,4,28,96.0,31752.80333333334,66.4725121292399,31656.64,31693.385,31742.43,31805.945,31878.56
10359,2018,4,29,83.0,31985.821927710847,68.54452806713249,31880.74,31933.78,31984.22,32041.45,32104.08
10359,2018,4,30,87.0,32201.213333333333,69.64320115177574,32105.86,32135.36,32201.74,32256.09,32328.94
10359,2018,5,1,96.0,32432.652916666673,72.21380523967002,32330.96,32368.175,32420.54,32490.93,32567.38
10359,2018,5,2,86.0,32667.505581395366,73.13872585878295,32569.26,32603.195,32649.57,32731.92,32804.72
10359,2018,5,3,87.0,32896.156551724125,60.61469721283545,32806.86,32841.59,32886.98,32945.66,33015.72
10359,2018,5,4,96.0,33148.25395833333,74.06235672130657,33042.6,33082.305,33137.94,33205.89,33289.66
10359,2018,5,5,96.0,33396.083125000005,71.01598629978754,33292.0,33332.175,33385.78,33453.905,33528.1
10359,2018,5,6,96.0,33629.869166666664,69.95437261329207,33530.16,33568.54,33617.24,33685.715000000004,33761.28
10359,2018,5,7,96.0,33861.44395833334,68.98258743646697,33763.18,33798.77,33853.630000000005,33915.19,33992.08
10359,2018,5,8,96.0,34090.573749999996,67.75313556931278,33994.06,34029.25,34082.490000000005,34142.805,34220.0
10359,2018,5,9,96.0,34319.5075,68.00681273922056,34222.08,34258.085,34311.3,34372.365000000005,34447.9
10359,2018,5,10,1.0,34449.7,,34449.7,34449.7,34449.7,34449.7,34449.7
10359,2018,6,4,96.0,40286.68749999999,69.57938583108938,40187.08,40224.67,40275.7,40341.28,40418.44
10359,2018,6,5,68.0,40499.317058823515,45.94540800334184,40430.88,40457.895000000004,40495.850000000006,40538.86,40582.04
16228,2018,6,4,83.0,61260.67156626505,121.67553722795734,61080.03,61154.58,61236.63,61348.965,61480.44
16228,2018,6,5,62.0,61711.12596774194,172.05315816425502,61484.37,61565.745,61701.630000000005,61805.49,62006.16
61093,2018,6,4,37.0,5556.327567567569,84.60191636276477,5431.6,5474.08,5573.32,5639.4,5665.28
61093,2018,6,5,53.0,5787.5373584905665,46.75520111548864,5680.0,5760.36,5787.64,5818.88,5870.6
901547,2018,6,4,84.0,9212.004761904762,150.57634027877629,8990.56,9089.3,9172.24,9345.44,9485.52
901547,2018,6,5,75.0,9697.597866666667,119.72845743477917,9490.48,9611.880000000001,9693.92,9788.8,9922.8
901857,2018,6,4,81.0,111827.63555555558,133.0057905506384,111615.52,111707.68,111853.6,111938.8,112038.96
901857,2018,6,5,85.0,112513.82964705884,400.5799053112377,112043.2,112128.08,112441.52,112897.44,113164.48
1003526,2018,4,10,89.0,21114.238202247197,76.31672470342677,20998.64,21046.4,21108.48,21175.52,21250.24
1003526,2018,4,11,96.0,21364.530833333327,79.27724982837688,21252.16,21293.2,21353.4,21430.899999999998,21508.24
1003526,2018,4,12,80.0,21642.694000000003,74.94201453985048,21510.16,21576.1,21635.0,21705.92,21773.12
1003526,2018,4,13,96.0,21889.277499999997,81.26640288517001,21775.12,21815.36,21878.36,21957.78,22037.28
1003526,2018,4,14,67.0,22146.751044776116,69.74368304477129,22039.44,22087.6,22133.28,22212.92,22271.84
1003526,2018,4,15,94.0,22401.937872340426,71.91079985099134,22300.16,22337.38,22389.760000000002,22461.5,22533.04
1003526,2018,4,16,86.0,22633.539534883716,72.81396523949783,22534.96,22568.28,22620.32,22692.32,22776.4
1003526,2018,4,17,78.0,22907.393846153853,80.5161391780046,22808.08,22840.3,22887.72,22950.72,23071.44
1003526,2018,4,18,96.0,23195.054166666665,86.43920591547717,23073.6,23116.52,23183.239999999998,23266.48,23354.4
1003526,2018,4,19,96.0,23485.82333333333,90.04058512595604,23356.96,23402.96,23476.04,23560.7,23649.92
1003526,2018,4,20,96.0,23772.699166666673,84.62015108604196,23652.32,23696.38,23761.440000000002,23843.320000000003,23929.2
1003526,2018,4,21,96.0,24052.255833333318,83.08447414233768,23931.6,23975.859999999997,24044.440000000002,24120.0,24204.0
1003526,2018,4,22,96.0,24317.679166666665,76.86770304835325,24206.32,24250.24,24305.8,24381.4,24457.12
1003526,2018,4,23,90.0,24571.263999999992,82.69301644086931,24459.04,24497.82,24557.72,24634.48,24730.88
1003526,2018,4,24,96.0,24848.97333333333,82.98903509902175,24732.88,24773.44,24836.88,24918.379999999997,25000.72
1003526,2018,4,25,96.0,25122.088333333337,84.8170997489573,25002.88,25045.480000000003,25109.800000000003,25193.620000000003,25276.72
1003526,2018,4,26,96.0,25400.893333333337,86.22787507122179,25278.72,25322.38,25391.16,25470.7,25556.88
1003526,2018,4,27,96.0,25674.48583333333,82.39680749649239,25558.96,25599.840000000004,25662.28,25743.96,25825.52
1003526,2018,4,28,96.0,25936.480833333335,75.0072274926914,25827.6,25868.9,25928.6,25996.88,26075.28
1003526,2018,4,29,96.0,26180.567499999994,70.42589866026026,26077.6,26117.92,26170.879999999997,26238.699999999997,26307.76
1003526,2018,4,30,1.0,26309.76,,26309.76,26309.76,26309.76,26309.76,26309.76
1003526,2018,5,12,96.0,29493.101666666673,77.71577991450192,29386.0,29422.66,29481.36,29554.58,29640.72
1003526,2018,5,13,86.0,29751.620465116277,66.37373052127263,29642.72,29692.04,29749.84,29805.760000000002,29866.4
1003526,2018,5,14,96.0,29962.52,67.17533381892663,29868.32,29901.86,29951.440000000002,30019.180000000004,30084.4
1003526,2018,5,15,1.0,30086.16,,30086.16,30086.16,30086.16,30086.16,30086.16
1003526,2018,6,4,0.0,,,,,,,
1003712,2018,4,8,55.0,5538.582909090911,25.22466207039568,5498.78,5517.9,5537.02,5562.68,5585.02
1003712,2018,4,9,1.0,5586.62,,5586.62,5586.62,5586.62,5586.62,5586.62
1003712,2018,4,10,96.0,5757.504791666666,29.393653557015096,5703.72,5738.505,5755.0,5777.635,5815.46
1003712,2018,4,11,96.0,5870.012291666665,28.348038806355973,5817.02,5851.325000000001,5870.66,5888.63,5925.7
1003712,2018,4,12,96.0,5976.059583333333,26.149552714969737,5927.18,5960.2300000000005,5973.22,5992.595,6028.68
1003712,2018,4,13,96.0,6078.011041666668,23.953186953290768,6030.18,6063.675,6080.6900000000005,6090.585,6125.98
1003712,2018,4,14,96.0,6166.482708333333,18.956264704183873,6127.34,6157.23,6166.82,6174.2,6207.38
1003712,2018,4,15,81.0,6247.618271604937,20.032920205883844,6208.76,6235.76,6246.42,6258.26,6288.06
1003712,2018,4,16,96.0,6341.968958333332,29.609180492371355,6289.58,6322.084999999999,6335.5,6362.9400000000005,6399.96
1003712,2018,4,17,96.0,6451.675208333331,27.546955242168472,6401.5,6434.965,6445.49,6470.865,6505.94
1003712,2018,4,18,96.0,6554.895416666666,24.282968600133877,6507.34,6540.119999999999,6557.51,6568.285,6604.18
1003712,2018,4,19,96.0,6653.121874999997,24.220095888918774,6605.6,6638.81,6653.18,6666.969999999999,6701.98
1003712,2018,4,20,1.0,6703.38,,6703.38,6703.38,6703.38,6703.38,6703.38
1003712,2018,5,15,96.0,9022.650833333333,20.839476893458315,8980.3,9011.935000000001,9022.41,9031.975,9067.32
1003712,2018,5,16,96.0,9113.036458333336,22.052211154400023,9068.82,9101.099999999999,9112.66,9123.57,9159.44
1003712,2018,5,17,96.0,9202.642916666662,20.348228626728428,9160.98,9193.495,9200.900000000001,9211.33,9247.44
1003712,2018,5,18,85.0,9296.850352941177,21.46178167098427,9248.94,9285.22,9294.54,9309.24,9340.34
1003712,2018,5,19,96.0,9385.795833333328,21.84984912228612,9341.74,9374.435000000001,9385.96,9396.25,9432.0
1003712,2018,5,20,96.0,9476.262916666672,21.077609168157892,9433.42,9465.5,9475.8,9486.085,9521.5
1003712,2018,5,21,96.0,9567.52125,22.14112987417913,9522.92,9555.08,9567.08,9578.67,9612.52
1003712,2018,5,22,96.0,9655.329791666662,20.571301418758168,9613.92,9646.330000000002,9653.28,9664.16,9700.54
1003712,2018,5,23,96.0,9746.336874999999,23.145982000406825,9701.9,9734.189999999999,9744.1,9757.75,9796.44
1003712,2018,5,24,96.0,9840.743958333338,21.805655204636977,9797.98,9829.045,9839.3,9851.380000000001,9887.42
1003712,2018,5,25,96.0,9932.168958333337,21.15133717207182,9888.82,9920.76,9932.43,9942.279999999999,9976.58
1003712,2018,5,26,96.0,10019.767083333338,20.91981241320071,9977.9,10009.72,10019.76,10027.71,10066.34
1003712,2018,5,27,96.0,10109.767708333335,20.793010641441192,10067.84,10099.995,10107.880000000001,10119.795,10155.04
1003712,2018,5,28,96.0,10197.4025,20.09948629875115,10156.5,10187.4,10196.83,10206.385000000002,10240.64
1003712,2018,5,29,96.0,10281.724166666669,19.369809806237733,10242.1,10273.619999999999,10281.05,10289.460000000001,10325.38
1003712,2018,5,30,96.0,10369.916458333331,21.76603824789376,10326.72,10358.25,10369.2,10380.025000000001,10417.24
1003712,2018,5,31,92.0,10458.551956521736,18.474735718440467,10418.7,10450.065,10459.279999999999,10467.575,10499.18
1003712,2018,6,1,96.0,10547.363750000004,19.37073110866522,10506.54,10538.375,10547.46,10555.029999999999,10589.0
1003712,2018,6,2,96.0,10631.339166666667,20.101459055012665,10590.24,10621.315,10630.27,10641.18,10674.14
1003712,2018,6,3,96.0,10716.523541666666,19.74456012913386,10675.46,10707.085,10716.14,10725.745,10759.18
1003712,2018,6,4,96.0,10805.70770833333,22.54264045988193,10760.54,10792.9,10807.1,10815.985,10852.2
1003712,2018,6,5,96.0,10897.131666666666,21.741529828837855,10853.62,10885.43,10897.42,10906.715,10944.1
1003712,2018,6,6,81.0,10989.79802469136,22.387645388682206,10945.58,10982.6,10990.7,11002.18,11033.5
1003712,2018,6,7,81.0,11082.620987654318,18.583521168291714,11035.12,11072.6,11080.36,11091.04,11122.94
1003712,2018,6,8,82.0,11166.969268292678,20.8226802262262,11128.62,11155.49,11162.94,11179.515,11211.24
1003712,2018,6,9,83.0,11263.844578313252,22.894407736665695,11212.74,11252.16,11261.54,11275.42,11311.0
1003712,2018,6,10,1.0,11312.48,,11312.48,11312.48,11312.48,11312.48,11312.48
1003941,2018,5,1,81.0,1003.3723456790124,12.897798481873275,986.5,991.84,999.48,1015.84,1025.88
1003941,2018,5,2,84.0,1044.7897619047621,13.933232006949973,1026.26,1032.48,1042.12,1052.9,1072.0
1003941,2018,5,3,85.0,1090.8837647058824,13.66247711421171,1072.32,1078.08,1088.34,1103.06,1116.32
1003941,2018,5,4,79.0,1148.1972151898738,14.231769709649054,1122.6,1135.01,1148.14,1160.15,1171.98
1003941,2018,5,5,52.0,1196.018846153846,15.443346388077355,1172.5,1184.7399999999998,1196.81,1213.5300000000002,1219.38
1003941,2018,5,6,85.0,1240.530588235294,12.908698281256969,1219.84,1226.96,1241.92,1251.14,1261.3
1003941,2018,5,7,78.0,1282.3982051282053,16.563258411439733,1261.6,1268.1499999999999,1276.46,1298.545,1310.62
1003941,2018,5,8,86.0,1332.6223255813954,13.45433493881026,1311.02,1320.71,1332.7199999999998,1343.82,1355.12
1003941,2018,5,9,87.0,1377.2537931034485,14.22529627282747,1355.4,1365.37,1376.56,1388.9499999999998,1401.98
1003941,2018,5,10,96.0,1421.8241666666672,14.175671944839848,1402.28,1408.225,1420.8200000000002,1432.96,1447.2
1003941,2018,5,11,95.0,1468.4014736842103,15.486603748966116,1447.52,1453.6799999999998,1467.0,1480.93,1497.04
1003941,2018,5,12,91.0,1520.6791208791215,15.166787959101196,1499.52,1505.9099999999999,1520.2,1532.9499999999998,1547.36
1003941,2018,5,13,96.0,1565.8116666666672,11.187225296049121,1547.68,1555.01,1567.13,1575.4850000000001,1583.22
1003941,2018,5,14,96.0,1598.1066666666668,9.51248428082709,1583.48,1589.625,1597.75,1604.99,1616.72
1003941,2018,5,15,87.0,1638.5009195402301,14.104298836037252,1617.1,1625.65,1637.64,1649.65,1663.48
1003941,2018,5,16,96.0,1684.7806250000003,15.32936815482999,1663.86,1670.4299999999998,1682.49,1697.37,1712.28
1003941,2018,5,17,96.0,1733.154583333333,15.27038261104544,1712.58,1718.9299999999998,1730.7600000000002,1745.4650000000001,1760.66
1003941,2018,5,18,82.0,1778.0736585365844,12.506963148206886,1761.04,1766.8049999999998,1775.6599999999999,1787.03,1803.24
1003941,2018,5,19,94.0,1830.6255319148938,15.088933323923506,1810.58,1816.8799999999999,1828.1999999999998,1843.3799999999999,1858.18
1003941,2018,5,20,96.0,1877.6718749999998,13.099848638137209,1858.54,1865.68,1876.59,1888.655,1901.18
